GraphName,Version,Threads,Phases,TotalIterations,Clusters,Modularity,ClusteringTIme,CoarseningTime,TotalTime,Threshold,DataType
cage15,Vectorized,48,7,129,48,0.888691,8.98488,3.75563,12.7405,1e-06,4
uk2002,Vectorized,48,8,176,4017,0.989269,33.7575,8.17143,41.929,1e-06,4
333SP,Vectorized,48,20,476,184,0.985523,5.70533,4.46572,10.1711,1e-06,4
AS365,Vectorized,48,8,176,174,0.981405,5.31596,3.78724,9.1032,1e-06,4
eu-2005,Vectorized,48,6,104,153,0.938069,1.55082,0.530796,2.08161,1e-06,4
in-2004,Vectorized,48,7,128,802,0.979406,1.79388,1.03164,2.82552,1e-06,4
M6,Vectorized,48,9,178,161,0.980663,5.42773,4.38085,9.80858,1e-06,4
NLR,Vectorized,48,9,178,168,0.981596,6.05368,4.41506,10.4687,1e-06,4
road_usa,Vectorized,48,11,251,1419,0.997934,37.0652,33.6446,70.7098,1e-06,4
af_shell10,Vectorized,48,16,376,63,0.958152,3.9337,2.73507,6.66877,1e-06,4
cnr-2000,Vectorized,48,6,126,185,0.912108,0.639902,0.112307,0.752209,1e-06,4
G_n_pin_pout,Vectorized,48,7,128,61,0.284305,0.308774,0.227997,0.536771,1e-06,4
NACA0015,Vectorized,48,8,176,108,0.972613,1.42562,1.36663,2.79225,1e-06,4
road_central,Vectorized,48,11,251,1037,0.9972,22.422,23.2341,45.6561,1e-06,4
smallworld,Vectorized,48,6,126,211,0.792557,0.189913,0.114432,0.304345,1e-06,4
Amazon0505,Vectorized,48,6,104,160,0.888077,0.372298,0.263283,0.635581,1e-06,4
as-skitter,Vectorized,48,6,126,967,0.838703,2.57912,0.930714,3.50983,1e-06,4
ca-HepPh,Vectorized,48,5,101,314,0.660877,0.132974,0.0844119,0.217386,1e-06,4
ca-HepTh,Vectorized,48,5,101,470,0.760174,0.0810103,0.0192156,0.100226,1e-06,4
cit-Patents,Vectorized,48,6,126,3679,0.802223,5.31078,5.20402,10.5148,1e-06,4
com-lj,Vectorized,48,6,126,1786,0.749837,6.58414,4.65777,11.2419,1e-06,4
com-youtube,Vectorized,48,8,176,5212,0.72033,0.865639,1.20499,2.07063,1e-06,4
roadNet-CA,Vectorized,48,9,201,2980,0.991769,4.56837,3.84636,8.41473,1e-06,4
web-Google,Vectorized,48,6,103,3169,0.979349,0.992388,0.38624,1.37863,1e-06,4
com-orkut,Vectorized,48,5,101,30,0.660469,6.79408,22.0341,28.8282,1e-06,4
soc-LiveJournal1,Vectorized,48,6,126,3091,0.748512,9.85196,9.53772,19.3897,1e-06,4
wiki-Talk,Vectorized,48,5,101,2641,0.558494,1.7321,1.11513,2.84723,1e-06,4
web-Stanford,Vectorized,48,9,178,726,0.936474,0.393303,0.178128,0.571431,1e-06,4
