GraphName,Version,Threads,Phases,TotalIterations,Clusters,Modularity,ClusteringTIme,CoarseningTime,TotalTime,Threshold,DataType
cage15,Vectorized,48,7,129,48,0.888691,2.86784,4.4585,7.32635,1e-06,4
uk2002,Vectorized,48,8,176,4017,0.989269,22.4186,7.3645,29.7831,1e-06,4
333SP,Vectorized,48,20,476,184,0.985523,2.56458,4.5371,7.10168,1e-06,4
AS365,Vectorized,48,8,176,174,0.981405,2.10699,2.89,4.997,1e-06,4
eu-2005,Vectorized,48,6,104,153,0.938069,2.9505,0.566998,3.5175,1e-06,4
in-2004,Vectorized,48,7,128,802,0.979406,1.05208,0.429039,1.48112,1e-06,4
M6,Vectorized,48,9,178,161,0.980663,1.91017,3.49641,5.40658,1e-06,4
NLR,Vectorized,48,9,178,168,0.981596,2.424,3.64561,6.06961,1e-06,4
road_usa,Vectorized,48,11,251,1419,0.997934,13.1576,33.2725,46.4301,1e-06,4
af_shell10,Vectorized,48,16,376,63,0.958152,2.10575,2.96509,5.07084,1e-06,4
cnr-2000,Vectorized,48,6,126,185,0.912108,0.729737,0.11627,0.846007,1e-06,4
G_n_pin_pout,Vectorized,48,7,128,61,0.284305,0.159285,0.229476,0.388761,1e-06,4
NACA0015,Vectorized,48,8,176,108,0.972613,0.627913,1.01158,1.6395,1e-06,4
road_central,Vectorized,48,11,251,1037,0.9972,7.82135,20.0415,27.8628,1e-06,4
smallworld,Vectorized,48,6,126,211,0.792557,0.145459,0.133016,0.278475,1e-06,4
Amazon0505,Vectorized,48,6,104,160,0.888077,0.358869,0.2535,0.612368,1e-06,4
as-skitter,Vectorized,48,6,126,967,0.838715,8.58396,1.60662,10.1906,1e-06,4
ca-HepPh,Vectorized,48,5,101,314,0.660877,0.0242991,0.0494204,0.0737195,1e-06,4
ca-HepTh,Vectorized,48,5,101,470,0.760174,0.00949574,0.00937963,0.0188754,1e-06,4
cit-Patents,Vectorized,48,7,151,3630,0.802597,6.44116,4.75936,11.2005,1e-06,4
com-lj,Vectorized,48,6,126,1786,0.749837,19.9819,5.01286,24.9948,1e-06,4
com-youtube,Vectorized,48,8,176,5211,0.720326,12.0597,1.42434,13.484,1e-06,4
roadNet-CA,Vectorized,48,9,201,2980,0.991769,1.49619,3.88539,5.38158,1e-06,4
