GraphName,Version,Threads,Phases,TotalIterations,Clusters,Modularity,ClusteringTIme,CoarseningTime,TotalTime,Threshold,DataType
cage15,Modified Parallel,32,7,129,46,0.887637,2.83453,1.43583,4.27036,1e-06,4
cage15,Modified Parallel,32,7,129,46,0.887637,2.8699,1.30902,4.17892,1e-06,4
uk2002,Modified Parallel,32,8,176,4015,0.989271,43.0712,3.09929,46.1705,1e-06,4
333SP,Modified Parallel,32,20,476,184,0.985523,2.03273,1.33647,3.3692,1e-06,4
AS365,Modified Parallel,32,8,176,174,0.981405,1.80893,1.19134,3.00026,1e-06,4
eu-2005,Modified Parallel,32,6,104,153,0.938069,6.82021,0.237762,7.05797,1e-06,4
in-2004,Modified Parallel,32,7,128,802,0.979406,1.59401,0.277109,1.87112,1e-06,4
M6,Modified Parallel,32,9,178,161,0.980663,1.65334,1.11279,2.76612,1e-06,4
NLR,Modified Parallel,32,9,178,168,0.981596,2.01898,1.33128,3.35026,1e-06,4
road_usa,Modified Parallel,32,11,251,1419,0.997934,9.30389,12.1316,21.4355,1e-06,4
af_shell10,Modified Parallel,32,16,376,63,0.958152,1.41909,0.804233,2.22332,1e-06,4
cnr-2000,Modified Parallel,32,6,126,185,0.912108,1.2888,0.068562,1.35737,1e-06,4
G_n_pin_pout,Modified Parallel,32,7,128,61,0.283998,0.13887,0.137759,0.276629,1e-06,4
NACA0015,Modified Parallel,32,8,176,108,0.972613,0.416917,0.305259,0.722176,1e-06,4
road_central,Modified Parallel,31,11,251,1037,0.9972,6.74415,7.68513,14.4293,1e-06,4
smallworld,Modified Parallel,32,6,126,211,0.792557,0.0641003,0.0609689,0.125069,1e-06,4
Amazon0505,Modified Parallel,32,6,104,160,0.888077,0.626601,0.134044,0.760645,1e-06,4
as-skitter,Modified Parallel,32,6,105,968,0.838797,17.1604,0.435744,17.5962,1e-06,4
ca-HepPh,Modified Parallel,32,5,101,314,0.660877,0.0431669,0.0135791,0.056746,1e-06,4
ca-HepTh,Modified Parallel,32,5,101,470,0.760174,0.00906134,0.00484228,0.0139036,1e-06,4
cit-Patents,Modified Parallel,32,7,128,3678,0.800785,8.35436,1.58096,9.93531,1e-06,4
com-lj,Modified Parallel,32,6,126,1782,0.749856,22.6674,2.6966,25.364,1e-06,4
com-youtube,Modified Parallel,32,8,176,5212,0.72033,15.284,0.457153,15.7412,1e-06,4
roadNet-CA,Modified Parallel,32,9,201,2980,0.991769,0.750004,1.01183,1.76183,1e-06,4
web-Google,Modified Parallel,32,6,103,3169,0.979349,1.56695,0.223697,1.79065,1e-06,4
com-orkut,Modified Parallel,32,5,101,31,0.660458,24.7394,14.4694,39.2089,1e-06,4
soc-LiveJournal1,Modified Parallel,32,6,126,3091,0.748512,35.1291,4.91362,40.0427,1e-06,4
wiki-Talk,Modified Parallel,32,5,101,2641,0.558494,23.3075,0.717864,24.0253,1e-06,4
web-Stanford,Modified Parallel,32,9,178,726,0.936474,5.21462,0.104026,5.31865,1e-06,4
cage15,Vectorized,32,7,129,48,0.888691,2.65436,1.40637,4.06073,1e-06,4
uk2002,Vectorized,32,8,176,4017,0.989269,20.2681,2.88809,23.1562,1e-06,4
333SP,Vectorized,32,20,476,184,0.985523,2.07873,1.32347,3.4022,1e-06,4
AS365,Vectorized,32,8,176,174,0.981405,1.86868,1.19773,3.0664,1e-06,4
eu-2005,Vectorized,32,6,104,153,0.938069,2.72856,0.240424,2.96898,1e-06,4
