GraphName,Threads,Phases,TotalIterations,Clusters,Modularity,ClusteringTIme,CoarseningTime,TotalTime,Threshold,DataType
cage15,48,201,570,8490,0.681737,34.6413,3.04244,37.6837,1e-06,4
cage15,48,201,570,8490,0.681737,35.1638,5.63204,40.7959,1e-06,4
uk2002,48,201,595,311169,0.4478,97.481,14.6878,112.169,1e-06,4
333SP,48,201,546,227836,0.900842,33.7693,18.7414,52.5107,1e-06,4
AS365,48,6,131,275856,0.981083,15.5199,2.19463,17.7145,1e-06,4
eu-2005,48,8,160,6438,0.50517,5.08294,0.205351,5.28829,1e-06,4
in-2004,48,9,186,39223,0.445312,4.55843,0.239944,4.79838,1e-06,4
M6,48,7,134,250833,0.902451,15.2963,1.71908,17.0153,1e-06,4
NLR,48,201,522,297328,0.917255,40.6813,23.6957,64.377,1e-06,4
road_usa,48,201,594,1019815,0.956949,108.32,51.2138,159.534,1e-06,4
af_shell10,48,2,27,145188,0.143209,5.04146,0.110914,5.15237,1e-06,4
cnr-2000,48,8,160,8562,0.520408,1.05943,0.0303982,1.08983,1e-06,4
G_n_pin_pout,48,7,134,510,0.2005,0.776064,0.172603,0.948667,1e-06,4
NACA0015,48,201,499,75877,0.965263,8.2324,5.65444,13.8868,1e-06,4
road_central,48,201,572,621964,0.97333,80.064,30.9578,111.022,1e-06,4
smallworld,48,5,82,22,0.580628,0.324452,0.0400787,0.364531,1e-06,4
Amazon0505,48,1,1,410236,-1,0.114414,0,0.114414,1e-06,4
as-skitter,48,1,1,1696415,-1,0.87918,0,0.87918,1e-06,4
ca-HepPh,48,1,1,12008,-1,0.0147603,0,0.0147603,1e-06,4
ca-HepTh,48,1,1,9877,-1,0.00219984,0,0.00219984,1e-06,4
cit-Patents,48,1,1,3774768,-1,0.690005,0,0.690005,1e-06,4
com-lj,48,1,1,3997962,-1,3.0055,0,3.0055,1e-06,4
com-youtube,48,1,1,1134890,-1,0.324636,0,0.324636,1e-06,4
roadNet-CA,48,1,1,1965206,-1,0.131709,0,0.131709,1e-06,4
web-Google,48,1,1,875713,-1,0.331653,0,0.331653,1e-06,4
com-orkut,48,1,1,3072441,-1,6.08991,0,6.08991,1e-06,4
soc-LiveJournal1,48,1,1,4847571,-1,4.26914,0,4.26914,1e-06,4
wiki-Talk,48,1,1,2394385,-1,0.857025,0,0.857025,1e-06,4
web-Stanford,48,1,1,281903,-1,0.247668,0,0.247668,1e-06,4
cage15,24,201,570,8490,0.681737,47.8881,3.56481,51.4529,1e-06,4
uk2002,24,201,595,311169,0.4478,117.303,16.1901,133.493,1e-06,4
333SP,24,201,546,227836,0.900842,40.7145,18.8682,59.5827,1e-06,4
AS365,24,6,131,275856,0.981083,21.2835,1.51429,22.7978,1e-06,4
eu-2005,24,8,160,6438,0.50517,6.05982,0.107502,6.16732,1e-06,4
in-2004,24,9,186,39223,0.445312,5.32651,0.131309,5.45782,1e-06,4
M6,24,7,134,250833,0.902451,19.9521,1.23374,21.1859,1e-06,4
NLR,24,201,522,297328,0.917255,49.2215,25.9961,75.2176,1e-06,4
road_usa,24,201,594,1019815,0.956949,147.955,51.8487,199.804,1e-06,4
af_shell10,24,2,27,145188,0.143209,6.83161,0.0901106,6.92172,1e-06,4
cnr-2000,24,8,160,8562,0.520408,1.36772,0.0261526,1.39387,1e-06,4
G_n_pin_pout,24,7,134,510,0.2005,1.25988,0.14928,1.40916,1e-06,4
NACA0015,24,201,499,75877,0.965263,10.7155,5.87573,16.5912,1e-06,4
road_central,24,201,572,621964,0.97333,103.379,33.6613,137.04,1e-06,4
smallworld,24,5,82,22,0.580628,0.497602,0.0420231,0.539625,1e-06,4
Amazon0505,24,1,1,410236,-1,0.16769,0,0.16769,1e-06,4
as-skitter,24,1,1,1696415,-1,1.04519,0,1.04519,1e-06,4
ca-HepPh,24,1,1,12008,-1,0.0217812,0,0.0217812,1e-06,4
ca-HepTh,24,1,1,9877,-1,0.00291607,0,0.00291607,1e-06,4
cit-Patents,24,1,1,3774768,-1,1.07481,0,1.07481,1e-06,4
com-lj,24,1,1,3997962,-1,4.60329,0,4.60329,1e-06,4
com-youtube,24,1,1,1134890,-1,0.480169,0,0.480169,1e-06,4
roadNet-CA,24,1,1,1965206,-1,0.192596,0,0.192596,1e-06,4
web-Google,24,1,1,875713,-1,0.428128,0,0.428128,1e-06,4
com-orkut,24,1,1,3072441,-1,8.50518,0,8.50518,1e-06,4
soc-LiveJournal1,24,1,1,4847571,-1,6.56742,0,6.56742,1e-06,4
wiki-Talk,24,1,1,2394385,-1,1.05391,0,1.05391,1e-06,4
web-Stanford,24,1,1,281903,-1,0.293134,0,0.293134,1e-06,4
